Index,main_speaker,title,details,posted,url,
11,Sagar Goel,An optimist's take on reskilling in the age of AI,"One in three workers globally will see their jobs disrupted by AI and tech advancements this decade — but there's a way to stay ahead of the curve. Skill-building strategist Sagar Goel shares practical examples from a partnership with the Singaporean government that helped thousands of workers transition into new careers, offering a lesson on the importance of reskilling and becoming a lifelong learner.",Posted May 2024,https://www.ted.com/talks/sagar_goel_an_optimist_s_take_on_reskilling_in_the_age_of_ai?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
12,Thomas Dohmke,"With AI, anyone can be a coder now","What if you could code just by talking out loud? GitHub CEO Thomas Dohmke shows how, thanks to AI, the barrier to entry to coding is rapidly disappearing — and creating software is becoming as simple (and joyful) as building LEGO. In a mind-blowing live demo, he introduces Copilot Workspace: an AI assistant that helps you create code when you speak to it, in any language.",Posted May 2024,https://www.ted.com/talks/thomas_dohmke_with_ai_anyone_can_be_a_coder_now?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
13,Mustafa Suleyman,What is an AI anyway?,"When it comes to artificial intelligence, what are we actually creating? Even those closest to its development are struggling to describe exactly where things are headed, says Microsoft AI CEO Mustafa Suleyman, one of the primary architects of the AI models many of us use today. He offers an honest and compelling new vision for the future of AI, proposing an unignorable metaphor — a new digital species — to focus attention on this extraordinary moment.",Posted Apr 2024,https://www.ted.com/talks/mustafa_suleyman_what_is_an_ai_anyway?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
14,Hanjo Seibert,What you can do to stop economic crime,"It might sound like the plot of a movie, but economic crime is all around us — from drug trafficking and fraud to cybercrimes, tax evasion and more. Economic crime fighter Hanjo Seibert breaks down the complexities of money laundering and how we can all wield our collective power to dismantle the underworld economy and turn off the money tap for criminals.",Posted Apr 2024,https://www.ted.com/talks/hanjo_seibert_what_you_can_do_to_stop_economic_crime?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
15,Jim Snabe,Your invitation to help build a sustainable future,"If we want to avoid a climate disaster, we need much more radical leadership,"" says Jim Snabe, who knows a thing or two about leadership as chairman of the world's largest maritime shipping company. In a stirring talk, he encourages companies to take big, bold actions to tackle climate change — and invites anyone to join the TED Future Forum, a new initiative focused on the role of business in advancing solutions to the climate crisis.",Posted Mar 2024,https://www.ted.com/talks/jim_snabe_your_invitation_to_help_build_a_sustainable_future?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
16,Ken Goldberg,Why don't we have better robots yet?,"Why hasn't the dream of having a robot at home to do your chores become a reality yet? With three decades of research expertise in the field, roboticist Ken Goldberg sheds light on the clumsy truth about robots — and what it will take to build more dexterous machines to work in a warehouse or help out at home.",Posted Mar 2024,https://www.ted.com/talks/ken_goldberg_why_don_t_we_have_better_robots_yet?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
17,Susan Lozier,Is climate change slowing down the ocean?,"Ocean waters are constantly on the move, traveling far distances in complex currents that regulate Earth's climate and weather patterns. How might climate change impact this critical system? Oceanographer Susan Lozier dives into the data, which suggests that ocean overturning may slow as our climate warms — and takes us on board the international effort to track these changes and set us on the right course while we still have time.",Posted Feb 2024,https://www.ted.com/talks/susan_lozier_is_climate_change_slowing_down_the_ocean?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
18,Paige Alexander,"When you inform women, you transform lives","Access to information is the key to unlocking human rights for all, says equality champion Paige Alexander. From educating female entrepreneurs on how to launch life-sustaining businesses to murals, billboards and other creative ways of sharing vital resources, Alexander shares how she and her team at the Carter Center connect people to the information they need — when they need it the most.",Posted Feb 2024,https://www.ted.com/talks/paige_alexander_when_you_inform_women_you_transform_lives?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
19,Ava DuVernay,How film changes the way we see the world,"""People told me this was an unadaptable book, so the only logical thing to do was to try to adapt it,"" says writer, producer and filmmaker Ava DuVernay of her work taking the award-winning title ""Caste"" from page to screen. In conversation with Pat Mitchell, DuVernay talks about the resulting film, ""Origin,"" and discusses her process for turning ideas into pictures that pack a punch.
entertainment,interview,social change,art,gender,history,storytelling,film,race,diversity",Posted Jan 2024,https://www.ted.com/talks/ava_duvernay_how_film_changes_the_way_we_see_the_world?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
20,Sofia Ongele,Your creative superpowers can help protect democracy,"""Democracy is more fun and inviting when you take it into your own hands,"" says creator and activist Sofia Ongele. Sharing how she's using coding and social media to defend democracy, Ongele invites us to identify our own creative superpowers — whether it's community organizing, making music or telling stories — and use them to cause a ruckus and bring movements to life.
computers,social change,community,activism,democracy,social media,Internet",Posted Jan 2024,https://www.ted.com/talks/sofia_ongele_your_creative_superpowers_can_help_protect_democracy?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
21,Ashley Whillans, 3 rules for better work-life balance,"Have you answered a work email during an important family event? Or taken a call from your boss while on vacation? According to behavioral scientist and Harvard Business School professor Ashley Whillans, ""always-on"" work culture is not only ruining our personal well-being -- but our work, as well. She shares which bad habits are stopping us from getting what we need out of our free time and three practical steps for setting boundaries that stick.
business,happiness,work,personal growth,work-life balance",Posted Sep 2021,https://www.ted.com/talks/ashley_whillans_3_rules_for_better_work_life_balance?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
22,Wendy MacNaughton, The art of paying attention,"In an invitation to slow down and look at the world around you, graphic journalist Wendy MacNaughton illustrates how drawing can spark deeply human, authentic connections. Ready to try? Grab a pencil and join MacNaughton for this delightful talk. ""Drawing is looking, and looking is loving,"" she says.
creativity,art,communication,humanity,emotions",Posted Sep 2021,https://www.ted.com/talks/wendy_macnaughton_the_art_of_paying_attention?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
23,Steven Sharp Nelson,How music can help you find peace after loss,"Music can act as a guide, says cellist Steven Sharp Nelson. It has the power to unlock the mind, tap into the heart and bring light in the darkest times. Take a deep breath as Nelson takes you on a melodic, meditative journey that could reconnect you with your closest loved ones -- no matter how near or far they may be.
music,death,art,love,psychology,relationships,personal growth,humanity,TEDx,emotions",Posted Aug 2021,https://www.ted.com/talks/steven_sharp_nelson_how_music_can_help_you_find_peace_after_loss?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
24,Adam Grant,Your insecurities aren't what you think they are,"""I can't do this."" ""I didn't deserve this promotion."" ""When will they find me out?"" If you've had thoughts like these, you aren't alone. Nearly 70 percent of people have experienced imposter syndrome -- even some of the most successful ones! The difference is in how they can use imposter thoughts as fuel, rather than a fire to burn them out. Organizational psychologist Adam Grant shares three steps you can take to harness your own self-doubt as a fuel for success, and why we stand to gain more from embracing our insecurities rather than hiding from them.
work,comedy,mental health",Posted Aug 2021,https://www.ted.com/talks/worklife_with_adam_grant_your_insecurities_aren_t_what_you_think_they_are?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
25,Elise Hu and Debbie Millman,How to pave a new career path,"Elise Hu, host of TED Talks Daily, sits down with designer Debbie Millman to share advice on stepping into the unknown, paving a new career path and exploring something you've never done before.
personal growth",Posted Aug 2021,https://www.ted.com/talks/hit_reset_elise_hu_and_debbie_millman_how_to_pave_a_new_career_path?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
26,Jota Samper,The informal settlements reshaping the world,"Creative, sustainable solutions find their home in the thousands of informal neighborhoods across the world. Urban planner Jota Samper believes these often overlooked settlements (also known as slums) should be regarded as hubs of innovation and shares three reasons why giving them the attention they deserve could help change the way humanity coexists -- and cities evolve -- on a global scale.
global issues,design,cities,urban planning,social change,poverty,TEDx,infrastructure,international development",Posted Jul 2021,https://www.ted.com/talks/jota_samper_the_informal_settlements_reshaping_the_world?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
27,Miracle Jones,"The radical, revolutionary resilience of Black joy","In the face of trauma, happiness is resilience: a revolutionary act of thriving despite all odds, rather than wilting or surrendering. Community organizer and activist Miracle Jones offers a heart-to-heart meditation on the role of joy as a form of radical resistance, survival and protection for Black folks in the US and across the world. A warm reminder to embrace the guiding light of hope in the presence of darkness.
social change,activism,race,happiness,society,TEDx",Posted Jul 2021,https://www.ted.com/talks/miracle_jones_the_radical_revolutionary_resilience_of_black_joy?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
28,Gilad Bino,A year in the life of one of Earth's weirdest animals,"Waddling along the parched Australian earth, a female platypus is searching for fresh water. Over the past year, a severe drought turned rivers and streams to mere trickles. She barely survived and was unable to reproduce. Could the next year bring a change in luck? Gilad Bino traces a year in the life of a platypus, and explores the unique adaptations that ensure this ancient species' survival. [Directed by Petya Zlateva, Compote Collective, narrated by Jack Cutmore-Scott, music by BigBanda SoundScapers].
science,education,animals,evolution,biology,TED-Ed,ecology,animation",Posted Jul 2021,https://www.ted.com/talks/gilad_bino_a_year_in_the_life_of_one_of_earth_s_weirdest_animals?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
29,Laura Tenenbaum," What if we saw climate change as an amazing challenge, not a burden?","""Dare mighty things."" These words are at the entrance to NASA's Jet Propulsion Laboratory (JPL), and JPL science communicator Laura Tenenbaum says they embody the attitude we must take towards climate change: to view it as a solvable problem that we can tackle together. She explains the benefits of this mindset shift and why it's critical for a greener future.",Posted Jun 2021,https://www.ted.com/talks/laura_tenenbaum_what_if_we_saw_climate_change_as_an_amazing_challenge_not_a_burden?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
30,The TED Interview, How to turn grit into a lifelong habit | Angela Duckworth,"What does it take to persevere and succeed, not just in our careers but in all aspects of our lives? For psychologist Angela Duckworth, the answer can be summed up in one concept: grit. She explains the ingredients in grit and the experiences that make one person persist where another gives up -- and offers concrete steps to instill grit early in life and sustain it. Listen and subscribe to The TED Interview and more podcasts from the TED Audio Collective at audiocollective.ted.com.
business,education,psychology",Posted Jun 2021,https://www.ted.com/talks/the_ted_interview_how_to_turn_grit_into_a_lifelong_habit_angela_duckworth?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
31,Darien Satterfield,"Real-life ""Alien"" jaws","After stalking a cuttlefish, a moray eel finally pounces. As the eel snags the mollusk in its teeth, its prey struggles to escape. But before it can wiggle away, a second set of teeth lunge from the eel's throat. This adaptation is called a pharyngeal jaw, and is one of the most common adaptations under the sea. Darien Satterfield shares how this incredible skeletal mechanism works. 
science,education,animals,evolution,biology,fish,TED-Ed,animation,ocean",Posted Jun 2021,https://www.ted.com/talks/darien_satterfield_real_life_alien_jaws?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
32,Zahra Al-Mahdi, The infinite alchemy of storytelling,"TED Fellow Zahra Al-Mahdi was raised by screens -- ""storytelling machines"" like TV and the internet that shaped her sense of self and reality. Now a multimedia artist and filmmaker, she challenges common historical narratives and brings a multiplicity of perspectives to the surface. In this dynamic talk, Al-Mahdi traces her development as a storyteller using satire, dark humor and tactile collage techniques to expand what we think we know about ourselves.
culture,social change,creativity,storytelling,TED Fellows",Posted May 2021,https://www.ted.com/talks/zahra_al_mahdi_the_infinite_alchemy_of_storytelling?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
33,Kathy Hannun,How to heat your home without hurting the planet,"Of all the mundane yet astonishing marvels of human ingenuity, knowing what it takes to heat a room to a comfortable temperature is TED Fellow Kathy Hannun's favorite. She takes us on a journey across the planet and under the sea to emphasize the dangers of modern heating, and offers a safer, planet-friendly alternative that taps into the geothermal energy right below our feet.
climate change,environment,science,sustainability,technology,innovation,nature,energy,TED Fellows,resources",Posted May 2021,https://www.ted.com/talks/kathy_hannun_how_to_heat_your_home_without_hurting_the_planet?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
34,Aparna Hegde,The life-saving tech helping mothers make healthy decisions,"Overcrowded clinics, extensive wait times and overworked doctors are taking a devastating toll on mothers and children in India. In this eye-opening talk, urogynecologist and TED Fellow Aparna Hegde exposes the systemic gaps that lead to preventable deaths every minute -- and introduces scalable, affordable and empowering tech solutions that improve maternal and child health outcomes, upend patriarchal family dynamics and save lives.
health,health care,medicine,family,TED Fellows,india,human rights",Posted May 2021,https://www.ted.com/talks/aparna_hegde_the_life_saving_tech_helping_mothers_make_healthy_decisions?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
35,Alex Gendler,How the world's tallest skyscraper was built,"In 2004, construction began on a new building in Dubai, promising a revolutionary design that would dwarf the rest of the world's skyscrapers. Five years later, the 828-meter Burj Khalifa was complete, surpassing the previous record-holder by over 60%. What innovations allowed for such a huge leap in height? Alex Gendler digs into the architecture of this unprecedented project. [Directed by WOW-HOW Studio, narrated by Addison Anderson, music by Stephen LaRosa].
design,engineering,architecture,education,TED-Ed,animation",Posted Apr 2021,https://www.ted.com/talks/alex_gendler_how_the_world_s_tallest_skyscraper_was_built?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
36,Megan McArthur,"A NASA astronaut's lessons on fear, confidence and preparing for spaceflight","How does an astronaut prepare physically and mentally to launch into space? NASA astronaut Megan McArthur, who traveled to the International Space Station in April 2021 as part of the SpaceX Crew-2 mission, shares stellar life lessons on how to cultivate the resolve to do incredible things through preparation -- and a dash of bravery. A rare glimpse at what it takes to literally shoot for the stars.
science,NASA,astronomy,personal growth,exploration,space,fear",Posted Apr 2021,https://www.ted.com/talks/megan_mcarthur_a_nasa_astronaut_s_lessons_on_fear_confidence_and_preparing_for_spaceflight?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
37,Erick Wilberding,This tool will help improve your critical thinking,"Socrates, one of the founding fathers of Western philosophical thought, was on trial. Many believed he was an enemy of the state, accusing the philosopher of corrupting the youth and refusing to recognize their gods. But Socrates wasn't feared for claiming to have all the answers, but rather, for asking too many questions. Erick Wilberding digs into the technique known as the Socratic Method. 
education,history,philosophy,ancient world,TED-Ed,animation",Posted Apr 2021,https://www.ted.com/talks/erick_wilberding_this_tool_will_help_improve_your_critical_thinking?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
38,Natsai Audrey Chieza,"Possible futures from the intersection of nature, tech and society","Biodesigner Natsai Audrey Chieza prototypes the future, imagining a world where people and nature can thrive together. In this wildly imaginative talk, she shares the vision behind her innovation lab, which works at the intersection of nature, technology and society to create sustainable materials and models for the future. Chieza invites us to consider what kind of world we wish for -- and what systemic changes and collaborations need to happen for it to exist.
science,technology,design,collaboration,innovation,biology,future",Posted Mar 2021,https://www.ted.com/talks/natsai_audrey_chieza_possible_futures_from_the_intersection_of_nature_tech_and_society?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
39,TED-Ed,What's the best fuel for your car?,"Historically, most cars have run on gasoline, but that doesn't have to be the case in the future: other liquid fuels and electricity can also power cars. So what are the differences between these options? And which one's best? Dig into which fuel— gasoline, electric, biofuels, or electrofuels— is both affordable for consumers and sustainable for the planet.
climate change,technology,design,transportation,education,innovation,energy,TED-Ed,animation,electricity",Posted Mar 2021,https://www.ted.com/talks/ted_ed_what_s_the_best_fuel_for_your_car?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
40,TED Radio Hour,The Power of Spaces,"How do spaces shape the human experience? In what ways do our rooms, homes and buildings give us meaning and purpose? In this segment, architect Michael Murphy joins host Manoush Zomorodi to explore the power of the spaces we make and inhabit. To listen to the whole episode, find TED Radio Hour wherever you're listening to this. And explore the world of the TED Audio Collective at audiocollective.ted.com.
design,architecture,collaboration,health care,storytelling,community,public health,society,beauty,public space",Posted Mar 2021,https://www.ted.com/talks/ted_radio_hour_the_power_of_spaces?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
41,Kevin Roose,The value of your humanity in an automated future,"To futureproof your job against robots and AI, you should learn how to code, brush up on your math skills and crack open an engineering textbook, right? Wrong. In this surprisingly comforting talk, tech journalist Kevin Roose makes the case that rather than trying to compete with the machines, we should instead focus on what makes us uniquely human.
science,technology,social change,future,work,AI,humanity",Posted Feb 2021,https://www.ted.com/talks/kevin_roose_the_value_of_your_humanity_in_an_automated_future?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
42,TED-Ed,The world's biggest battery looks nothing like a battery,"As of 2020, the world's biggest lithium-ion battery is hooked up to the Southern California power grid and can provide enough power for about 250,000 homes. But it's actually not the biggest battery in the world: a pair of lakes are. How can lakes be a battery? Explore how inventors are rethinking what a battery can be, and how these surprising solutions could help us achieve a sustainable future.
climate change,science,sustainability,technology,invention,education,innovation,energy,TED-Ed,animation,electricity",Posted Feb 2021,https://www.ted.com/talks/ted_ed_the_world_s_biggest_battery_looks_nothing_like_a_battery?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
43,Lorenzo García-Amaya,"Why do we, like, hesitate when we, um, speak?","For as long as we've had language, some people have tried to control it. And some of the most frequent targets of this communication regulation are the ums, ers, and likes that pepper our conversations. These linguistic fillers occur roughly 2 to 3 times per minute in natural speech. So are ums and uhs just a habit we can't break? Or is there more to them? Lorenzo García-Amaya investigates. 
education,communication,language,TED-Ed,animation",Posted Feb 2021,https://www.ted.com/talks/lorenzo_garcia_amaya_why_do_we_like_hesitate_when_we_um_speak?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
44,Mostafa Minawi, The rise of the Ottoman Empire,"In the late 13th century, Osman I established a small principality sandwiched between a crumbling Byzantine Empire and a weakened Sultanate of the Seljuk of Rum, in what is now Turkey. In just a few generations, this territory had outmaneuvered more powerful neighbors to become the vast Ottoman Empire. What enabled its rapid rise? Mostafa Minawi details the early days of the Ottomans.
culture,military,education,history,religion,war,TED-Ed,animation",Posted Jan 2021,https://www.ted.com/talks/mostafa_minawi_the_rise_of_the_ottoman_empire?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
45,Tracy Young,How vulnerability makes you a better leader,"As the founder of a startup, Tracy Young often worried that employees and investors valued male CEOs more -- and that being a woman compromised her position as a leader. In this brave, personal talk, she gives an honest look at the constraints women face when trying to adapt to a male-dominated business culture -- and shares how she developed the courage and vulnerability to lead as her complete, raw self. 
entrepreneur,gender,leadership,work,women in business,vulnerability",Posted Jan 2021,https://www.ted.com/talks/tracy_young_how_vulnerability_makes_you_a_better_leader?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
46,Max Rashbrooke,3 ways to upgrade democracy for the 21st century,"Democracy needs an update -- one that respects and engages citizens by involving them in everyday political decisions, says writer and researcher Max Rashbrooke. He outlines three global success stories that could help move democratic systems forward and protect society against the new challenges this century is already bringing.
global issues,politics,technology,community,society,democracy,TEDx,government,policy",Posted Jan 2021,https://www.ted.com/talks/max_rashbrooke_3_ways_to_upgrade_democracy_for_the_21st_century?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
47,Lijun Zhang,The Chinese legend of the butterfly lovers,"Although only boys were allowed at the Confucius Academy, what Zhu Yingtai wanted was to go to school. She begged her parents to let her attend dressed as a boy and, seeing her determination and clever disguises, they finally agreed— as long as she kept her identity a secret and later returned to the traditional path they'd set for her. Lijun Zhang shares the Chinese myth of the butterfly lovers. [Directed by Amir Houshang Moein, narrated by Pen-Pen Chen, music by Salil Bhayani, cAMP Studio].",Posted March 2022,https://www.ted.com/talks/lijun_zhang_the_chinese_legend_of_the_butterfly_lovers?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
48,Henri Picciotto,A riddle of ice and fire dragons,"It's your first day as Center Realm's official cartographer, and you've already got a big problem. Center Realm is home to three elder dragons: two ice, one fire, and they've lived in harmony for centuries. But scouts have sighted three fire dragons and five ice dragons flying towards the region. Can you figure out where to place the new dragons? Henri Picciotto shows how. [Directed by Igor Coric, Artrake Studio, narrated by Addison Anderson, music by Cem Misirlioglu, Greg Chudzik].",Posted March 2022,https://www.ted.com/talks/henri_picciotto_a_riddle_of_ice_and_fire_dragons?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
49,Alex Gendler,Building the impossible: Golden Gate Bridge,"Stretching 227 meters tall, two towers were assembled to support California's Golden Gate Bridge. They were just one of the challenges facing engineers Charles Ellis and Joseph Strauss. Even before construction began, many thought the project impossible: the strait was home to powerful winds, constant fog, and earthquakes. So how was this iconic bridge created? Alex Gendler details the feat. [Directed by Anton Bogaty, narrated by Addison Anderson, music by Salil Bhayani, cAMP Studio].",Posted February 2022,https://www.ted.com/talks/alex_gendler_building_the_impossible_golden_gate_bridge?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
50,Sathya Raghu Mokkapati,"The ""greenhouse-in-a-box"" empowering farmers in India","For smallholder farmers in India, agriculture has long been an unreliable source of income -- crops that flourish one season can fail the next, thanks to heat, pests and disease. But climate risk is now making the profession nearly impossible. TED Fellow Sathya Raghu Mokkapati is determined to change that with ""greenhouse-in-a-box"": a small, low-cost, easy-to-build structure aimed at helping farmers weather sizzling summers, increase monthly revenues and grow more food with less water.",Posted February 2022,https://www.ted.com/talks/sathya_raghu_mokkapati_the_greenhouse_in_a_box_empowering_farmers_in_india?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
51,TED Radio Hour,A playful approach to creating music,"As kids, play comes naturally. But over time, it gets replaced by work. This hour, TED speakers explore how to reconnect with play -- to spark creativity, combat despair and find our way in the world. In this segment, host Manoush Zomorodi talks to Grammy winner Jacob Collier, who makes a case for why we should emphasize play, passion and curiosity over practice. This is part of a three-part series on Work, Play and Rest. To listen to the whole episode and check out the series, find TED Radio Hour on Apple Podcasts or wherever you get your podcasts.",Posted February 2022,https://www.ted.com/talks/ted_radio_hour_a_playful_approach_to_creating_music?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
